post_shortcode;final_data;kalimat
DFKccJJPeW_;pasang tidak lanjut survey kata komplain layan langgan whatsapp sedang whatsapp tidak tanggap;['kata', 'komplain', 'sedang', 'survey', 'tanggap', 'tidak', 'whatsapp']
DFKccJJPeW_;komplain biasa an aduh serba bayar kan ga percaya perintah;['aduh', 'an', 'bayar', 'biasa', 'ga', 'kan', 'komplain', 'perintah']
DFKccJJPeW_;admin keran pdam rusak adu ke siapa;['adu', 'ke', 'keran', 'rusak']
DFKccJJPeW_;denda pdam lambat kalah pinjol parah;['denda', 'kalah', 'lambat', 'parah', 'pinjol']
DFKccJJPeW_;air pagi jam sore mati;['jam', 'mati', 'pagi', 'sore']
DFKccJJPeW_;si hubung layan adu hampir minggu tidak tindak;['adu', 'hampir', 'hubung', 'layan', 'minggu', 'si', 'tindak']
DFKccJJPeW_;air pdam daerah jemurwonosari pagi mati sore keluar kecil kotor cek;['cek', 'jemurwonosari', 'kecil', 'keluar', 'kotor', 'pagi', 'sore']
DFKccJJPeW_;tenggumung wetan gang garuda mati tindak lanjut;['dukuh', 'guna', 'kata', 'lurah', 'meter', 'pdam', 'remaja', 'resmi', 'rumah', 'tanggal', 'tugas']
DFKccJJPeW_;pdam tidak keluar air setro utara;['pdam']
DFKccJJPeW_;tugas pdam rumah tidak guna seragam resmi pdam kata remaja meter lurah dukuh tanggal;['air', 'alir', 'malam']
DFKccJJPeW_;pdam;['barusan', 'cek', 'daerah', 'jam', 'kebraon', 'lapang', 'tugas']
DFKccJJPeW_;halo kak selamat malam maaf ganggu keluh kait alir air pdam wilayah daerah putih makam blk nya air alir malam pagi hingga sore tidak alir air sulit aktivitas rumah tangga tekan air masuk rumah kecil lupa tutup katup pipa air tandon sedot habis duga sistem distribusi air lingkung guna skema seri bukan paralel sebab alir air tidak stabil tidak sedia jam;['setro', 'utara']
DFKccJJPeW_;barusan jam air mati daerah kebraon tugas cek lapang;['air', 'cek', 'daerah', 'kasih', 'kotor', 'maaf', 'surabaya', 'tandon', 'terima', 'wiyung']
DFKccJJPeW_;cek setro utara air kecil tandon tidak isi tindak lanjut terimakasih setro utara;['m']
DFKccJJPeW_;maaf air pdam daerah surabaya wiyung kotor sminggu cek tandon stok air terima kasih;['kalijudan', 'keluar']
DFKccJJPeW_;halo pakai m tagih m kak;['bisa', 'catat', 'cepat', 'di', 'ga', 'kasih', 'ku', 'lapor', 'meter', 'nomor', 'respon', 'tagih', 'telepon', 'woi']
DFKccJJPeW_;air kalijudan mati keluar;['bingung', 'tugas']
DFKccJJPeW_;lapor pdam kasih nomor catat meter di telepon ga bisa woi tagih ku tidak meter cepat respon;['ijin', 'tugas']
DFKccJJPeW_;tugas bbrpa bingung;['gara', 'golong', 'tarif', 'tetangga']
DFKccJJPeW_;tugas pdam ijin tugas aman;['air', 'hasil', 'layak', 'masak', 'minum', 'tidak']
DFKccJJPeW_;pdam tarif golong ubah tetangga tarif golong nya kos rumah pribadi ga salur air tetangga rumah ga malah loh pintu tulis keluarga miskin perintah gara gara tarif pdam bulan ngirit pakai air nya;['buko', 'ga', 'gading', 'kapas', 'kuat', 'madya', 'maghrib', 'makane', 'mancur', 'nyemprot', 'rusak', 'sakben', 'sanyomu']
DFKccJJPeW_;air pdam kotor tidak treatment masak usaha daerah air minum jangan air nya minum mandi tidak layak dpasang filter micron tidak hasil;['tagih']
DFKccJJPeW_;sakben maghrib air buko makane ga mancur sanyomu rusak tidak kuat nyemprot kapas gading madya;['lonjak', 'tagih']
DFKccJJPeW_;ngajuin surat berat tagih januari tidak tanggap tagih gara meter pdam rusak langgan bayar lebih tagih kelas usaha daerah tidak profesional gin;['parah']
DFKccJJPeW_;tagih air lonjak;['ada', 'cuman', 'tagih']
DFKccJJPeW_;pagi air tidak keluar parah parah;['akal', 'harga', 'kampung', 'kelas', 'masuk', 'naik', 'pindah', 'untung', 'usaha']
DFKccJJPeW_;pdam ga waras tagih raya drastis tugas salah nyatat tulis gilak tagih gila bicara sembarang rumah isi cuman tidak ada bocor tidak ada kolam renang air cuman pakai mandi saka cuci baju tagih mei gils;['aja', 'ajak', 'ketemu', 'sido']
DFKccJJPeW_;tagih tidak masuk akal kelas tarif pindah informasi ga naik harga pdam harga masuk usaha kecil kampung untung;['ribu']
DFKccJJPeW_;sido tidak ajak ngopi ketemu q bah orie bah gakmbulet sikat aja prei ruwet;['alir', 'datang', 'kantor', 'lanjut', 'mojo', 'tindak']
DFKccJJPeW_;pdam februari lonjak admin normal ribu an cek hampir ribu mohon bantu info;['lanjut', 'mohon', 'tindak']
DFKccJJPeW_;alir air mojo tindak lanjut datang kantor;['a', 'kamar', 'kost']
DFKccJJPeW_;air pdam wilayah utara surabaya setro utara sulit alir kecil tl;['biaya', 'retribusi']
DFKccJJPeW_;mohon tindak lanjut;['baik', 'bayar', 'ga', 'kadang', 'kecil', 'keluar', 'rumah', 'ta']
DFKccJJPeW_;hubung biar jelas bayar biaya ganti stop keran ktanya nunggu tugas cerah nya admin;['meter']
DFKccJJPeW_;pemberitahuan resmi memang atur kost kamar kena tarif a akal tugas kost hasil gitutrs ganti ake a kamar bukan kamar;['ecek', 'ganti', 'halo', 'januari', 'kak', 'komplain', 'lapang', 'lapor', 'meter', 'rusak', 'sini', 'tanggal', 'tugas', 'x']
DFKccJJPeW_;biaya retribusi;['alih', 'aplikasi', 'call', 'center', 'langgan', 'layan', 'respon', 'tidak', 'via']
DGPt1Dkvz64;baik ta air keluar rumah kecil kadang ga hidup bayar;['golong', 'ubah']
DGPt1Dkvz64;aju ganti meter meter rumah tinggal macetrusak tanggal januari tindak adu pm tagih januari meter tagih februari meter awal meter lapor meter macetrusak catat meter ubah ubah;['alhamdulillah', 'bukti', 'ganti', 'harap', 'meter', 'rungkut', 'sore', 'tanggal', 'terima']
DGPt1Dkvz64;halo kak komplain sini lapor meter rusak tanggal januari tugas lapang x ecek meter ganti;['benowo', 'kak', 'lurah']
DGPt1Dkvz64;informasi admin adu langgan loh via aplikasi respon pesan tidak respon alih call center tlpwa whatsapp tidak layan chat layan langgan;['alir', 'dukuh', 'gorong', 'kak', 'kerja', 'kupang', 'parah', 'semenjak', 'tagih', 'warga']
DGPt1Dkvz64;langgan an nya mustiani wikanti pulo wonokromo wetan golong tarifny ubah ubah a golong tarifny ubah ubah a ubah diberitahu tua enak rubah berat loh alas rubah tugas keliling meter bilang rumah buat kost alas harap kembali golong tarif terima kasih;['agak', 'baca', 'embun', 'ganti', 'kualitas', 'meter', 'sulit']
DGPt1Dkvz64;alhamdulillah sore tanggal rumah daerah rungkut tanggal harap ganti meter terima bukti ganti meter terima kasih;['agak', 'angka', 'bohong', 'ganti', 'meter', 'tugas']
DGPt1Dkvz64;lurah benowo kak;['bulak', 'lurah']
DGPt1Dkvz64;kak warga dukuh kupang pdam alir kecil ga semenjak kerja gorong kampus parah air alir nya tagih;['coklat', 'kak', 'keruh', 'warna']
DGPt1Dkvz64;meter merk onda embun agak sulit baca meter bahan kualitas mangapa ganti;['air', 'jam', 'kosong', 'm', 'normal', 'pagi', 'rusak', 'tempat', 'tidak']
DGPt1Dkvz64;kunjung x tugas pdam kata meter ganti tugas titip pesan bukan isu bohong kan tugas omon omon ga duli ganti silah tidak ganti tidak apa meter air lancar agak embun angka sulit baca bayar aor murah;['bayar', 'lonjak', 'macet', 'masak', 'meter', 'rusak', 'tagih', 'tindak', 'wajar', 'x']
DGPt1Dkvz64;lurah bulak tidak;['adu', 'bengkak', 'ga', 'habis', 'ratus', 'respon', 'tagih', 'tahun']
DGPt1Dkvz64;soreair daerah pandegiling keruh warna coklat kak feb;['busa', 'kutorejo', 'warna']
DGPt1Dkvz64;omong kosong tempat jam pagi jam air tidak normal tidak keluar meter rusak ambil huni rumah tidak fair air pdam m;['alir', 'baik', 'informasi', 'kebraon', 'siang', 'tidak']
DGPt1Dkvz64;meter ganti air macet bayar bayar lonjak tagih tidak wajar meter rusak masak x tagih mohon tindak lanj;['bayar', 'gratis', 'meter']
DGPt1Dkvz64;admin adu tidak respon tagih tiba tiba bengkak tahun ga air habis ratus;['alir', 'daerah', 'dukuh', 'kecil', 'kupang', 'maaf', 'memang', 'nya', 'timur']
DGPt1Dkvz64;daerah kutorejo pacet busa air warna susu;['sambikerep']
DGPt1Dkvz64;informasi mair sekitar kebraon siang tidak alir ya apakah baik;['kasih', 'ok', 'terima']
DGPt1Dkvz64;anti meter pdam gratis bayar;['dinoyo', 'kecil', 'lurah']
DGPt1Dkvz64;maaf memang daerah dukuh kupang timur alir nya kecil;['air', 'ga', 'meter', 'rumah']
DGPt1Dkvz64;sambikerep tidak;['barusan', 'cek', 'daerah', 'jam', 'kebraon', 'lapang', 'tugas']
DGPt1Dkvz64;ok terima kasih;['banget', 'bayar', 'drastis', 'hampir', 'harga', 'isi', 'kena', 'naik', 'rumah']
DGPt1Dkvz64;wil dinoyo lurah keputran air keluarny kecil;['aju', 'di', 'survey', 'tindak']
DGPt1Dkvz64;meter air rumah ga;['aju', 'area', 'meter', 'remaja', 'siwalankerto']
DGPt1Dkvz64;barusan jam air mati daerah kebraon tugas cek lapang;['air', 'alir', 'deras', 'dirmh', 'kecil', 'tinjau', 'uang', 'wonokromo']
DGPt1Dkvz64;admin air rumah bayar drastis banget rumah keluar air malam isi rumah kena nya an tidak semalem bayar kena hampir naik harga tidak informasi;['air', 'mati']
DGPt1Dkvz64;aju di survey tidak tindak;['buko', 'ga', 'gading', 'kapas', 'kuat', 'madya', 'maghrib', 'makane', 'mancur', 'nyemprot', 'rusak', 'sakben', 'sanyomu']
DGPt1Dkvz64;area siwalankerto aju remaja meter;['ganti', 'meter', 'parah', 'rumah', 'semenjak', 'sih', 'tagih', 'x']
DGPt1Dkvz64;air dirmh kluarnya kecil deras uang alir dompet tinjau air kecil wonokromo;['air', 'kadang', 'keluar', 'pagi']
DGPt1Dkvz64;air ton mati;['kebraon', 'woi']
DGPt1Dkvz64;sakben maghrib air buko makane ga mancur sanyomu rusak tidak kuat nyemprot kapas gading madya;['air', 'kalikendal', 'keluar', 'lanjut', 'lurah', 'malam', 'pelan', 'pradah', 'tindak']
DGPt1Dkvz64;semenjak meter ganti tagih air rumah x lipat parah sih;['air', 'area', 'baik', 'bulak', 'cek', 'keruh', 'kualitas', 'nya']
DGPt1Dkvz64;sore mohon informasi air rumah keluar nya kecil kadang mati keluar air malam pagi pagi tidak keluar air;['alir', 'ganggu', 'wonocolo']
DGPt1Dkvz64;kebraon mati air woi;['balas', 'biaya', 'bocor', 'kena', 'klumprik', 'perum', 'sambung', 'siang']
DGPt1Dkvz64;admin daerah lurah pradah kalikendal air mati keluar air malam air pelan tindak lanjut;['alir', 'daerah', 'datang', 'ditindaklanjuti', 'kantor', 'lancar', 'mojo']
DGPt1Dkvz64;area bulak cumpat air nya keruh admin cek baik kualitas air;['aju', 'berat', 'guna', 'januari', 'meter', 'pdam', 'rusak', 'surat', 'tagih', 'tanggap', 'tidak']
DGPt1Dkvz64;hallo admin ganggu alir air daerah wonocolo;['ganti', 'meter', 'tagih']
DGPt1Dkvz64;siang admin ganti meter air sambung bocor kena biaya tetga bocor bayar rbu inid perum pondok maritim balas klumprik;['air', 'aja', 'bayar', 'hari', 'kota', 'malam', 'mati']
DGPt1Dkvz64;alir air daerah mojo tidak lancar ditindaklanjuti kantor datang;['aju', 'pilih']
DGPt1Dkvz64;aju surat berat tagih januari meter pdam rusak tidak tanggap meter pdam rusak langgan bayar tagihannyapadahal air guna tidak tagih;['barat', 'ga', 'lurah', 'perak', 'yah']
DGPt1Dkvz64;ganti meter tagih;['call', 'center', 'hubung', 'kali', 'kata', 'kirim', 'lapang', 'pdam', 'so', 'surat']
DGPt1Dkvz64;air mati hari malam aja kota air mati bayar;['baik', 'cantik', 'informasi', 'medok', 'pagi', 'selamat', 'wilayah']
DGPt1Dkvz64;aju pilih;['rungkut']
DGPt1Dkvz64;lurah perak barat ga yah admin;['kira']
DGPt1Dkvz64;kirim surat komplen manajer kaliam arah spv agus kata kerja dihubjngi kali kali feedbacknya ga hubung lapang pdam pergi meter telepon call center pdam surabaya so;['layan', 'mantap']
DGPt1Dkvz64;selamat pagi mhon informasi wilayah medok cantik baik nggekok air mati;['mantap', 'pdam']
DGPt1Dkvz64;rungkut tidak admin;['air', 'dalam']
DGPt1Dkvz64;admin alir air daerah kejawan mati total lanjut kira kira dampak remaja besar kejawan tidak list;['baik', 'bocor', 'informasi', 'keran', 'meter', 'mohon', 'penuh']
DGPt1Dkvz64;layan mantap;['admin', 'bulak', 'camat', 'daerah', 'ga', 'keruh', 'masak', 'pakai']
DGPt1Dkvz64;mantap pdam;['keruh', 'malam']
DGPt1Dkvz64;air dalam keruhhampir air beras;['hari', 'kencang', 'kerja', 'meter', 'rumah', 'sih', 'tagih']
DGPt1Dkvz64;mohon informasi keran meter bocor tidak diputardibuka penuh baik;['atas', 'dirmh', 'ganti', 'keran', 'stop', 'usia']
DGPt1Dkvz64;daerah camat bulak admin air keruh banger ga pakai masak korah admin;['alir', 'baik', 'candi']
DGPt1Dkvz64;air kedungdoro keruh malam;['keruh', 'kotor', 'sore', 'wonokromo']
DGPt1Dkvz64;rumah tagih hun hari kerja semuakran mati meter muternya kencang sih;['air', 'ga', 'layak', 'pakai', 'tegalsari']
DGPt1Dkvz64;admin stop keran dirmh aus usia atas th ganti;['ditindaklanjuti', 'ijin', 'info', 'keruh', 'lurah', 'mohon', 'ngagel', 'pagi', 'rejo', 'terimakasih']
DGPt1Dkvz64;baik daerah candi lempung tidak alir;['keruh']
DGPt1Dkvz64;air wonokromo kotor keruh dar sore;['bayar', 'h', 'masuk']
DGPt1Dkvz64;daerah tegalsari air pdam ga layak pakai air sungai inisekarang mati;['kotor', 'manyar', 'nya']
DGPt1Dkvz64;mohon ijin info pagi air pdam daerah kru lurah ngagel rejo keruh pekat mohon ditindaklanjuti terimakasih;['assalamualaikum', 'jambang']
DGPt1Dkvz64;air keruh;['keran', 'pdam', 'putar', 'rp', 'stop', 'usia']
DGPt1Dkvz64;ganti meter bayar vja indomart stlah bayar via indomart katae h masuk stlah h masuk jadwal kunjunganluama air bocor deras nanggu milik rumah skali proses;['ketintang']
DGPt1Dkvz64;admin manyar sabrangan air nya kotor;['benowo']
DGPt1Dkvz64;assalamualaikum admin jambang bibis air mati;['kadang', 'kendala']
DGPt1Dkvz64;stop keran pdam rusak usia meter pdam putar pakai rugi whatsapp pdam surabaya baik stop keran kena biaya rp bayar;['baik', 'perak', 'wilayah']
DGPt1Dkvz64;ketintang air mati;['jaya']
DGPt1Dkvz64;lurah wonorejo rungkut admin;['adu', 'call', 'halo', 'malam', 'nomor', 'operator', 'respon', 'sibuk', 'slow', 'solusi', 'tempat', 'whatsapp']
DGPt1Dkvz64;benowo admin;['bocor', 'keran', 'meter']
DGPt1Dkvz64;baik pipa bocor made air kadang alir kecil kadang ga keluar admin kendala;['agak', 'air', 'keruh', 'mungkin', 'nya', 'remaja', 'salur']
DGPt1Dkvz64;wonocolo tidak gratis;['pilih', 'whatsapp']
DGPt1Dkvz64;wilayah tanjung perak baik;['ku', 'lurah', 'meter', 'remaja', 'sambikerep']
DGPt1Dkvz64;putat jaya tidak;['selatan', 'teman']
DGPt1Dkvz64;halo whatsapp slow respon nomor call centernya operator sibuk air tempat mati malam solusi adu;['baratajaya', 'lurah']
DGPt1Dkvz64;keran meter bocor;['area', 'kalikendal', 'masuk', 'pradah', 'remaja']
DGPt1Dkvz64;air nya agak keruh mungkin remaja salur air pdam kaj;['dukuh', 'pakis']
DGPt1Dkvz64;admin whatsapp menu pilih;['lurah', 'tidak']
DGPt1Dkvz64;lurah sambikerep admin meter ku remaja;['sidotopo']
DGPt1Dkvz64;tunggu area surabaya selatan teman teman;['candi', 'gang', 'informasi', 'mem', 'tempat']
DGPt1Dkvz64;lurah baratajaya tidak;['belakang', 'ga', 'meter', 'remaja', 'wilayah']
DGPt1Dkvz64;pradah kalikendal tidak masuk area remaja admin;['buram', 'embun', 'ga', 'kaca', 'lurah', 'yah']
DGPt1Dkvz64;dukuh pakis tidak admin;['cara', 'dapat', 'meter']
DGPt1Dkvz64;lurah morokrembangan tidak;['kantor', 'lapor']
DGPt1Dkvz64;sidotopo tidak admin;['air', 'ga', 'pdam', 'perlu', 'salur', 'sumur']
DGPt1Dkvz64;informasi air tempat mati kemarenarea mem bandarejo gang candi;['admin', 'informasi', 'nya']
DGPt1Dkvz64;wilayah pandaan belakang masjid chengho ga remaja meter air;['jalan', 'meter', 'naik', 'posisi']
DGPt1Dkvz64;yah lurah ga admin kaca embun buram;['gang', 'meter', 'muka', 'setro', 'susah', 'tanah']
DGPt1Dkvz64;cara admin dapat tembak meter air;['aja']
DGPt1Dkvz64;lapor kantor ditanggapin admin;['lurah']
DGPt1Dkvz64;pdam ga keluar ganti air salur air sumur ga perlu pakai pdam ga mandi air;['busa', 'kutorejo']
DGPt1Dkvz64;informasi lowong nya admin;['a', 'kamar', 'kost']
DGPt1Dkvz64;naik meter air posisi rendah jalan admin;['bayar', 'ganti', 'jawab', 'kali', 'katup', 'keran', 'kubik', 'meter', 'rumah', 'solusi', 'surabaya', 'suruh', 'tanggung', 'tidak', 'wajar', 'wilayah', 'x']
DGPt1Dkvz64;daerah setro gang meter air muka tanah pavingisasi gelap susah kece;['buat', 'golong', 'kan', 'kos', 'lantai', 'tarif', 'tetangga', 'tidak', 'ubah', 'ujung']
DGPt1Dkvz64;lurah simolawang air pdam mati malam aja adu aja ga ubah bayar;['promo', 'wilayah']
DGPt1Dkvz64;lurah sukomanunggal;['daftar', 'guna', 'kak', 'nunggu', 'pasang']
DGPt1Dkvz64;pdam daerah kutorejo busa admin;['pipa', 'rumah']
DGPt1Dkvz64;air disidosermo baik tempat alir nya kecil siang deras pelan putar meter air isi tandon lambat;['admin', 'daftar', 'kantor']
DGPt1Dkvz64;pemberitahuan resmi memang atur kost kamar kena tarif a akal tugas kost hasil gitutrs ganti a kamar bukan kamar;['daftar', 'ga', 'kak', 'lapor', 'pasang', 'syarat', 'whatsapp']
DGPt1Dkvz64;tidak wilayah surabaya rumah kali complain volume kubik tidak wajar solusi x suruh ganti keran katup bayar meter air masalah tanggung jawab pdam pel;['biaya', 'listrik', 'watt']
DGPt1Dkvz64;tarif golong pas ubah tarif ubah rumah tulis keluarga miskin perintah lantai tanah rumah tidak lantai tidak buat kos kontra tetangga tarif golong itu pun buat kos kontrak kan tidak lapor pdam ujung ujung tugas kemari cek suruh ganti meter bayar tidak murah cek tugas keliling meter sih ubah kan bayar nya mahal paling kena tetangga kena daerah tambak asri notaben banyak tarif golong;['bayar', 'laku', 'pasang']
DGPt1Dkvz64;bayar hutang;['diskon', 'meter', 'pipa']
DGPt1Dkvz64;bayar ganti meter air hilangtapi tidak pasang alas stop keran nya kosongdan kira tidak taudisuruh beli sendirisudah bayar denda meter hilang mahal suruh beli stop keran sendirigmn layan;['biaya', 'bukan', 'maaf', 'psb', 'watt']
DFxD1EJP3Fi;admin wilayah sidoarjo promo;['cara', 'karena', 'kontrak', 'rumah']
DFxD1EJP3Fi;daftar nunggu kak pasang guna;['alir', 'daerah', 'datang', 'ditindaklanjuti', 'kantor', 'mojo']
DFxD1EJP3Fi;rumah pipa admin;['admin', 'bocor', 'ga', 'rumah']
DFxD1EJP3Fi;admin daftar kantor admin;['call', 'center', 'daftar', 'data', 'konfirmasi', 'lengkap', 'nunggu', 'proses', 'uda', 'whatsapp']
DFxD1EJP3Fi;admin kalau syarat tidak lengkap admin;['admin', 'rumah', 'tidak']
DFxD1EJP3Fi;lapor by whatsapp pdam ga kak daftar kurang syarat pasang;['daya', 'diskon', 'harga', 'jelas', 'listrik', 'mohon', 'watt']
DFxD1EJP3Fi;admin listrik watt biaya yh jt;['ganti', 'pasang', 'tanggap']
DFxD1EJP3Fi;pasang laku bayar;['bangun', 'kan', 'listrik', 'rumah']
DFxD1EJP3Fi;diskon pipa meter;['aju', 'minn', 'survey']
DFxD1EJP3Fi;maaf admin psb watt biaya bukan;['depan', 'meter', 'pindah', 'rumah']
DFxD1EJP3Fi;admin kontrak rumah pasang pdam cara gimana karena rumah kontrak waris;['area', 'daerah', 'laku', 'surabaya']
DFxD1EJP3Fi;daerah mojo ditindaklanjuti tidak air alir datang kantor;['benar', 'biaya', 'daya', 'listrik', 'maaf', 'psb', 'watt']
DFxD1EJP3Fi;admin air rumah ga takut bocor admin;['area', 'diskon']
DFxD1EJP3Fi;admin uda daftar data lengkap proses nunggu konfirmasi whatsapp call center;['beda', 'nama']
DFxD1EJP3Fi;admin rumah sertifikasi tidak admin;['bayar', 'gojek', 'grab']
DFxD1EJP3Fi;daya listrik watt harga diskon mohon jelas;['daftar', 'nya', 'proses']
DFxD1EJP3Fi;agustus tanggap pasang ganti admin;['keluar', 'pagi', 'tidak']
DFxD1EJP3Fi;kan bangun rumah listrik nyaapa;['gunung', 'kecil', 'keluar', 'simo']
DFxD1EJP3Fi;survey minn aju;['nya', 'simolangit']
DFxD1EJP3Fi;maaf admin pindah meter kena biaya meter air depan rumah pindah ke rumah ku jarak meter;['keren']
DFxD1EJP3Fi;laku area surabaya daerah admin;['lingkung']
DFxD1EJP3Fi;maaf admin benar psb daya listrik watt biaya;['april', 'beri', 'tindak']
DFxD1EJP3Fi;area bekas diskon admin;['babatan', 'bantu', 'bayar', 'bocor', 'ditindaklanjuti', 'ganti', 'halo', 'keran', 'tugas', 'warga']
DFxD1EJP3Fi;nama milik tanah pasang pdam beda nama;['air', 'bau', 'keruh', 'mahal', 'sumur']
DFxD1EJP3Fi;bayar pdam gojek grab tidak;['bukan', 'juta', 'maaf', 'popok', 'tahun']
DFxD1EJP3Fi;admin daftar proses pemasangannunggu nya;['kalijudan', 'kecil', 'nya']
DJoUCilzmRD;tambakwedi tidak keluar air pagi;['jambang', 'keruh']
DJoUCilzmRD;daerah simo gunung air kecil tidak keluar;['ganti', 'lingkung', 'pakai', 'popok', 'ulang']
DJoUCilzmRD;simolangit tidak air nya pdam;['kosong']
DJk7cyfvtmd;keren;['admin', 'informasi', 'pdam']
DJk7cyfvtmd;duta lingkung;['buka', 'info', 'mei', 'tanggal']
DJk7cyfvtmd;halo selamat siang kak admin pdam adu april pesan beri tindak nihh beri tindak lanjut april komen tulis mei tindak loh mohon;['buka', 'kak', 'maaf', 'mei', 'tanggal']
DJk7cyfvtmd;halo admin pdam warga babatan pratama bayar ganti keran air bocor tugas bantu ditindaklanjuti;['alir', 'gunungsari', 'indah', 'jam', 'kasih', 'mohon', 'normal', 'rumah', 'terima']
DJk7cyfvtmd;air pdam surabaya pusat punya keruh air sumur bayar mahal air keruh bau;['surabaya', 'utara']
DJk7cyfvtmd;maaf juta popok bukan tahun;['surabaya', 'utara']
DJk7cyfvtmd;admin kalijudan air nya kecil;['lokasi', 'nya']
DJk7cyfvtmd;air pdam kebonsari jambang keruh;['hapus']
DJk7cyfvtmd;yuk ganti popok pakai ulang balut ramah lingkung;['cek', 'cuman', 'kualitas', 'mampu', 'perhati', 'perlu', 'untung']
DJghFuvvdvl;kosong;[]
DJgJ2sBPAq6;informasi loker pdam admin;['aamiin', 'alhamdulillah', 'cinta', 'kota', 'moga']
DJfuXOGvhrE;info buka tanggal mei admin;['bayar', 'bu', 'hutang', 'si', 'suruh']
DJfuXOGvhrE;maaf buka tanggal mei kak;['halo', 'operator', 'telepon']
DJdbiYpvPUE;air pdam rumah gunungsari indah alir normal jam mohon direspon terima kasih;['bagus', 'informasi']
DJdbiYpvPUE;surabaya utara tidak air;['promo']
DJdbiYpvPUE;surabaya utara;['bayar', 'kali', 'ke', 'lapor', 'rumah', 'tidak']
DJb9f1uTyr7;lokasi nya admin;['admin', 'april', 'cek', 'halo', 'kak', 'keluh', 'kirim', 'lanjut', 'mohon', 'nya', 'pesan', 'surabaya', 'tindak']
DJb9f1uTyr7;komen hapus cek pdam daerah simolangit tidak air hapus komentar lapor whatsapp tidak hirau;['kelas']
DJb9f1uTyr7;kualitas air perlu cek dikontroljangan cuman cek meter sajadan cari untung gede perhati mampu konsumen;['siwalankerto']
DJbPX8JTxnj;sua sanctitas;['maaf']
DJY9xS-vXAi;alhamdulillah moga menang kota cinta menang aamiin;['ga', 'habis', 'lihat', 'meter', 'rumah']
DJY9xS-vXAi;bu si suruh bayar hutang pinjolnya;['kaporit', 'ulang']
DJVj-OHvVeW;telepon bebas pulsa suara tidak dengar operator pdam hola halo hola halo;['selamat']
DJTHmG9vK0l;bagus informasi;['sembada', 'sukses', 'surya']
DJRSsnqSSrg;aplikasi cis tidak promo;['kota', 'selamat', 'sembada', 'surabaya', 'surya']
DJRSsnqSSrg;bayar duluan tanggal sabar;['bu', 'buron', 'hutang', 'pinjol', 'suruh']
DJRSsnqSSrg;apa promo kak;['pam', 'semangat', 'tukang']
DJRSsnqSSrg;alfamart tidak ada diskon kakak jarang indomaret;['alhamdulillah', 'all', 'dalam', 'estimasi', 'jam', 'mantap', 'minum', 'pam', 'sembada', 'surabaya', 'surya', 'tukang', 'umum']
DJRSsnqSSrg;tokopedia tidak promo;['mantap']
DJRSsnqSSrg;air tidak bayar krna lapor kali tidak teknisi ke rumah bagimana;['indah']
DJQZhqjyen_;mati rawat surabaya;['beri', 'halo', 'kak', 'mohon', 'pesan', 'tanggap', 'terimakasih']
DJQZhqjyen_;halo admin pdam surabaya kirim keluh april tindak lanjut mohon cek pesan nya kak admin;['babatan', 'daerah', 'dampak', 'hari', 'kena', 'kenjeran']
DJLw67TTb4r;kelas;['malam', 'tidak']
DJLkU5rPlnq;admin adu ganti meter hingga kerja tanggap;['halo', 'kak', 'pesan', 'tanggap']
DJJFAbBv-Bi;siwalankerto mati air;['air', 'angsu', 'gara', 'keluar', 'loh', 'ngagel']
DJJFAbBv-Bi;daerah panjangjiwo mati kak;['admin', 'alir', 'babatan', 'ga']
DJFCPdOzNoA;semangat;['cantik', 'mbak']
DJFCPdOzNoA;semangat rekan moga sukses;['kadang', 'sidotopo']
DJFCPdOzNoA;daerah kenjeran siang tidak keluar admin malam keluar hampir minggu;['kota', 'semangat', 'surabaya']
