post_shortcode;final_data;kalimat
DJEE_FMzMr9;langgan an nya mustiani wikanti pulo wonokromo wetan golong tarifny ubah ubah a ubah diberitahu tua enak rubah berat loh alas rubah tugas keliling meter bilang rumah buat kost alas harap kembali golong tarif terima kasih;['alih', 'pesan', 'respon', 'slow', 'telepon']
DJEE_FMzMr9;maaf;['baca', 'call', 'center', 'hari', 'hubung', 'nya', 'pesan', 'sibuk', 'sulit']
DJEE_FMzMr9;meter air rumah ga lihat habis meter;['respon', 'slow']
DJDp0SqvUcy;mantap;['alhamdulillah', 'baik', 'guna', 'layan', 'masyarakat', 'moga']
DJBpf9ATgbC;halo admin pesan tanggap ga action pdam smpe skrng;['bulak', 'minggu', 'nya', 'rukem', 'susah', 'timur']
DJBpf9ATgbC;admin rang kaporit daerah rungkut air bau kaporit masak beli isi ulang admin tindak lanjut;['bantu', 'beri', 'halo', 'keluh', 'mohon', 'pagi', 'pesan', 'selamat', 'terimakasih', 'tindak']
DJBfhNGvM8d;alhmdulillah selamat;['kantor', 'rungkut']
DJBfhNGvM8d;alhamdulillah;['daerah', 'malam', 'mati', 'tempat']
DJBfhNGvM8d;sukses surya sembada;['bos', 'gang', 'kalijudan', 'keluar', 'ku', 'malam', 'subuh']
DJBfhNGvM8d;selamat pdam surya sembada kota surabaya;['info', 'pagi', 'simo']
DJBfhNGvM8d;cek area jemurwonosari air kotor pagi siang malam mati jam pagi tidak keluar siang keluar dikit itu pun jam an malam jam keluar dikit;['daerah', 'debit', 'kecil', 'siring', 'tapak']
DJBfhNGvM8d;bu suruh suruh bayar hutang buron pinjol;['mati', 'usaha']
DJBAw3TT2Tx;tekan air daerah dukuh pakis kecil admin;['manyar']
DJBAw3TT2Tx;halo kak admin pesan tanggap mohon tanggap;['gali', 'jaman', 'pas', 'tapi']
DI6pjZqTEGs;semangat tukang pam;['alir', 'dampak', 'laku', 'rencana', 'wilayah']
DI6pjZqTEGs;alhamdulillah mantap umum estimasi kerja jam selesai dalam jam mantap semangat all team tukang pam surabaya perumda air minum surya sembada surabaya;['daerah', 'ga', 'hari', 'keluar', 'kenjeran']
DI6pjZqTEGs;mantap;['kampung', 'retribusi']
DI6pjZqTEGs;mulyo indah grup;['ubah']
DI6pjZqTEGs;rencana efektif kolaboratif kunci sukses good job teman teman moga layan baik langgan cinta;['nama', 'nya', 'surat', 'tanah', 'tua']
DI6pjZqTEGs;semangat pdam;['jelas', 'nya']
DI6pjZqTEGs;selamat semangat mbak cantik mas nya sehat sehat;['alir', 'dukuh', 'kecil', 'keluar', 'kupang', 'nya', 'wilayah']
DI6pjZqTEGs;halo kak admin pesan mohon beri tanggap terimakasih;['alir', 'bayar', 'daerah', 'ga', 'keluar', 'nya', 'simolangit']
DI6pjZqTEGs;daerah kenjeran babatan pantai kena dampak mati hari air;['angsu', 'bocor', 'debit', 'kecil', 'kerja', 'pipa', 'siring', 'suka', 'tapak']
DI6pjZqTEGs;gubeng tidak malam;['cuman', 'gin', 'pernah', 'rumah', 'solusi']
DI6pjZqTEGs;pdam baca pesan;['kak', 'pam', 'sistem']
DI6pjZqTEGs;halo kak admin pesan ikan tanggap;['aplikasi', 'ganggu', 'informasi']
DI6pjZqTEGs;astaga angsu air loh gara air tidak naiksementara air keluar daerah residen sudirman ngagel;['akal', 'angka', 'aplikasi', 'berat', 'data', 'kalah', 'keluh', 'masuk', 'tidak', 'unggah']
DI6pjZqTEGs;admin babatan labansari mulyorejo air ga alir admin;['adu', 'informasi', 'kena', 'mohon']
DI6pjZqTEGs;jalil;['banget', 'keren']
DI6pjZqTEGs;terimakasih informasi salam kompak komunitas informasi masyarakat lurah pucang sewu mitra kerja dinas informasi komunikasi kota surabaya;['keren']
DI6pjZqTEGs;cantik mbak pdam;['alir', 'daerah', 'dukuh', 'kecil', 'pakis', 'tinjau']
DI6pjZqTEGs;area sidotopo ganggu hampir air tidak lancar kadang alir kadang mati hari;['daerah', 'debit', 'halo', 'jalan', 'kecil', 'siring', 'tapak']
DI32szRzFmV;admin bayar pdam gojek grab tidak;['selamat']
DI32szRzFmV;semangat pdam kota surabaya;['admin']
DI32szRzFmV;pesan slow respon telepon alih;['banget', 'keren', 'sembada', 'srikandi', 'surya']
DI32szRzFmV;sulit hubungin pdam air rumah mati sore;['nyala']
DI32szRzFmV;pdam baca pesan hari sulit hubung call center nya sibuk;['mantap', 'srikandi', 'surabaya']
DI32szRzFmV;admin wanya slow respon;['bu', 'keren']
DI2xdiPzKLQ;keren;['selamat']
DI2xdiPzKLQ;alhamdulillah moga layan baik masyarakat guna air;['my']
DI2xdiPzKLQ;kak mohon pasang usaha kak laku bayar indomaret kak bingung nanya lihat progres pasang;['baik', 'memang']
DI2gCFezGUI;bulak rukem timur admin minggu air nya susah;['kasih', 'terima']
DI2gCFezGUI;halo selamat pagi mohon bantu keluh pesan mohon beri tindak terimakasih;['anyar', 'gunung']
DI2gCFezGUI;admin pagi alias subuh hingga jam air rumah ku jalan zamhuri rungkut air keluar debit nya dikit ganggu bosen telepon layan langgan mandi kantor kantor kantor gresik rumah rungkut;['call', 'ngga', 'telepon']
DI2gCFezGUI;admin informasi h air mati;['alir', 'indah', 'kalilom', 'lor']
DI2gCFezGUI;admin tempat daerah kedung cowek air mati malam;['jam']
DI2gCFezGUI;kalijudan gang subuh malam tidak keluar air bos ku;['jam', 'nya', 'padam']
DI2gCFezGUI;mohon info daerah simo sidomulyo kamis pagi jumat pagi air tidak keluar;['banyak', 'daerah', 'klu', 'manuk', 'normal', 'pantau']
DI2gCFezGUI;daerah tapak siring air kecil debit duh;['keluar', 'nyala', 'pantas']
DI2gCFezGUI;kalijudan admin air macet bayare mundak air metue jam bengi isuk awan sore mampet kabeh;['coba', 'dari', 'deh', 'isi', 'lambat']
DI2gCFezGUI;sipp admin usaha mati air tidak;['semangat']
DI2gCFezGUI;lucu perum manyar jaya semenjak kerja gorong manyar indah manyar jaya manyar rejo air pagi pagi malam air mati malam bayang tampung air protes telepon capek heran libur nasional air lancar kayak tetangga sini tidak guna tandon tidak mas semenjak skg air buruk jelek baik pdam;['cantik', 'keren', 'sukses']
DI2gCFezGUI;daerah sidotopo memang tidak alir air air;['pdam', 'sembada', 'surabaya', 'surya']
DI2gCFezGUI;daerah mulyorejoo jaman gali gali selesai airr sulit tapi pas raya air nya lancar jaya;['semangat']
DI2gCFezGUI;laku rencana pikir matang alir air wilayah lurah airlangga alir lancar diskriminasi dampak kostan wilayah;['bak', 'deh', 'kosong', 'mandi', 'nya']
DI2gCFezGUI;daerah kenjeran air ga keluar hari;['kakak', 'sore']
DI2gCFezGUI;siang bulak rukem timur air daerah debit kecil cenderung tidak keluar lapor datang tidak lancar tny kata gali memang keluar selanjunya kecil air keruh;['akeh', 'gara', 'iku', 'isuk', 'korban', 'mari', 'seng']
DI0mYNWT7jJ;pdam tanyak bayar bulan retribusi kampung pakek retribusi adu online retribusi tentu dlh retribusi kampung nak bukan angka kecil bayangin rumah nak kampung rumah;['kira', 'progres', 'update']
DI0mYNWT7jJ;ubah;['loh', 'rumah', 'sama', 'sekali', 'selesai']
DI0mYNWT7jJ;surat tanah nya nama tua;['ga', 'langgan', 'layan', 'respon', 'whatsapp']
DI0mYNWT7jJ;jelas nya;['aduh', 'ga']
DIx63uITVjW;wilayah dukuh kupang air nya alir kecil tidak keluar;['area', 'permai', 'rungkut']
DIx63uITVjW;kenapaa daerah simolangit air nya alir kecilbahkan ga keluar sia bayar pdam;['bak', 'habis', 'mandi', 'selesai']
DIx63uITVjW;pipa bocor dimanadampaknya daerah tapak siring debit kecil angsu suka kasi kerja;['anyar', 'gunung', 'sawah', 'sekolah']
DIx63uITVjW;rumah pagi mati air cuman malam jam tidak pernah gin daerah rumah cuman rumah ganggu air informasi jelas solusi;['anyar', 'ayo', 'gunung']
DIxj3rwTf1o;kak pam nya sistem prabayar kak;['admin', 'air']
DIxj3rwTf1o;nya aplikasi informasi ganggu pdam gali dsbynya aplikasi nya aplikasi informasi ganggu langgan bukan kak;['minn', 'selesai']
DIxj3rwTf1o;aplikasi ribet keluhannapa unggah ktpdena rumah blablablabukannya masuk nopel data terbacalagian keluh batas anehdan berat admint tt tidak masuk akal kalah tunggak bayardan admin tt tidak googlewebnya pdam lainnyalalu angka admint tt darimana sehinggal muncul nominal segitu;['anyar', 'gunung']
DIxj3rwTf1o;mohon informasi adu kena penalti;['anyar', 'gunung', 'mandi', 'mati', 'total']
DIvykK1T0z7;keren banget;['bagus', 'informasi']
DIvykK1T0z7;keren;['bangun', 'bantu', 'bilang', 'juta', 'kakak', 'kampung', 'kanan', 'ku', 'masuk', 'pakek', 'pdam', 'rumah', 'suruh', 'uda', 'utara']
DIvWUI0TYM0;air daerah dukuh pakis kecil tidak alir tinjau;['keluar', 'siwalankerto']
DIvWUI0TYM0;halo daerah jalan tapak siring debit air kecil tidak;['bocor', 'depan', 'foto', 'lapor', 'pdamnya', 'rumah', 'tindak']
DIvWUI0TYM0;sosialisasi visi misi pdam apacoba cek target warga surabaya harap pdam nyala jam pompa air lantai warga surabayajangan skrng rumah gunung anyar pompa air disetro utara pakai pompa air camat tambaksari kawasan milik miskin paling bantu dulukan rumah didahulukankapan pdam penuh target menganalisa dibayartolong hubung terima kasih;['kasih', 'nomor', 'respon', 'suruh', 'whatsapp']
DIvB8m4TVRV;selamat bumiglobeshowingeurope africa;['responnya', 'sama', 'sekali']
DIu5I61PjAN;health talk wanita admin;['masuk', 'responnya']
DIslhvHzw1m;keren banget srikandi surya sembada;['gaada']
DIslhvHzw1m;nyala saudara;['cuman', 'debit', 'kecil', 'sidosermo']
DIslhvHzw1m;mantap srikandi pdam surabaya;['belakang', 'kecil', 'pdk', 'sidosermo']
DIslhvHzw1m;keren bu den sugeng;['adu', 'debit', 'jam', 'kecil', 'keluar', 'lancar', 'lebaran', 'siring', 'skg', 'tapak']
DIslhvHzw1m;selamat kartini;['atas', 'cepat', 'debit', 'gerak', 'jam', 'keluh', 'lonjak', 'mati', 'pagi', 'siang', 'tagih']
DIslhvHzw1m;my deepest admiration for all my kartinis out there;['area', 'ganggu', 'halo', 'kedurus', 'kerja', 'mati', 'total']
DIslhvHzw1m;baik memang;['baik', 'hari', 'kayak']
DIpqWcYTVPK;terima kasih;['datang', 'kantor', 'lanjut', 'tindak']
DIk0fYzPJ66;gunung anyar;['admin']
DIi8Q12vefW;call centre ngga telepon;['cis', 'daerah', 'keluar', 'langgan', 'lapor', 'layan', 'respon', 'rumah', 'sidotopo', 'telepon', 'tidak']
DIiNMuBTe7M;semangat;['a', 'kak', 'kecil', 'pdk', 'sidosermo', 'tempat']
DIiNMuBTe7M;semangat admin konten;['iku', 'subhanallah']
DIhrwRXzY4g;kalilom lor indah delima mli aprilmli alir air;['nya', 'undi']
DIhrwRXzY4g;jam;['maret', 'nya', 'pasang', 'tanggal']
DIhrwRXzY4g;jam padam nya;['pasang']
DIhrwRXzY4g;tanggal air daerah manuk mati tidak nyala klu kecil banyak mati normal pantau daerah manuk normal;['aidzin', 'beri', 'keluarga', 'kerja', 'kumpul', 'lancar', 'mal', 'moga', 'posisi', 'raya', 'sehat', 'tugas', 'walfaizin']
DIgZcPhvJo_;pantas tidak keluar nyala air;['bu', 'ga', 'kali', 'respon', 'sibuk', 'telepon', 'whatsapp']
DIgZcPhvJo_;admin sambikerep mati air ga pemberitahuan pagi wktunya masaksekolahkerja;['aidzin', 'batin', 'lahir', 'lebaran', 'maaf', 'mal', 'mohon', 'selamat']
DIgZcPhvJo_;lambat nyimak coba dari tadi deh isi air admin;['lapor', 'tindak']
DIfy-l5zkBH;semangat;['lontar']
DIfy-l5zkBH;sukses cantik humas keren;['piket', 'semangat', 'tugas']
DIfy-l5zkBH;pdam surya sembada surabaya;['maret', 'tagih']
DIfy-l5zkBH;semangat;['bau', 'nya', 'putih']
DIfy-l5zkBH;barokallah teman semangat sehat;['beda', 'dari', 'golong', 'kata', 'listrik', 'tapi', 'tarif']
DIfy-l5zkBH;air nya bak mandi deh kosong;['allah', 'masya', 'pam', 'sehat', 'sembada', 'surya', 'tabarakallah']
DIfy-l5zkBH;sore kakak;['jaga', 'kawan', 'piket', 'selamat', 'tugas']
DIfy-l5zkBH;mari nggali iku dandan seng nggenah admin isuk akeh korban tibo gara nutup mu mek nggae lemah nggarai dalane lunyu;['batin', 'keluarga', 'korban', 'lahir', 'tugas']
DIfy-l5zkBH;update progres kira kira selesai ga;['aidzin', 'beri', 'keluarga', 'kerja', 'kumpul', 'lancar', 'mal', 'moga', 'posisi', 'raya', 'sehat', 'tugas', 'walfaizin']
DIfy-l5zkBH;selesai air loh tidak sama sekali rumah;['keren']
DIfy-l5zkBH;tlfon layan langgan ga whatsapp layan langgan ga respon air keluar;['allah', 'moga', 'sehat']
DIfy-l5zkBH;aduh ga air;['juang', 'semangat']
DIfy-l5zkBH;area rungkut permai;['beri', 'berkah', 'keluarga', 'moga', 'sehat', 'semangat']
DIfy-l5zkBH;bu jalan kupang gunung barat ivada bocor pipasudah hampir tidak tindak;['allah', 'amin', 'jaga', 'kawan', 'keluarga', 'lindung', 'moga', 'semangat', 'sembada', 'surya']
DIfy-l5zkBH;air bak mandi habis selesai;['berkah', 'kawan']
DIfy-l5zkBH;mati pdam gunung anyar sawah sekolah layar;['film', 'gunung', 'lihat', 'penuh']
DIfy-l5zkBH;ayo semangat kerja air biar cepat keluar;['film', 'nasional', 'selamat']
DIfy-l5zkBH;admin update sore admin;['ayo', 'cis', 'film', 'sahabat', 'undi']
DIfy-l5zkBH;ayo gunung anyar;['mas']
DIfy-l5zkBH;bu suruh suruh bayar hutang buron pinjol;['admin', 'keren']
DIflu2CTPUb;rumah anak yatim amanah ummat umi barokah jalan mastrip warugunung rw warugunung karangpilang surabaya uang dtansfer bri an nur barokah konfirmasi whatsapp;[]
DIflu2CTPUb;forum komunikasi langgan admin;['suka']
DIeLpGJTxyh;air admin;['film', 'nya']
DIeLpGJTxyh;selesai minn;['mati', 'pdam']
DIeLpGJTxyh;gunung anyar admin;['allah', 'masya']
DIeLpGJTxyh;tidak mandi gunung anyar mati total;['allah', 'masya', 'tabarakallah']
DIdragOP-7C;bagus informasi;['jam', 'kalilom', 'lor', 'rumah', 'siang', 'tidak']
DIdragOP-7C;moga kerja cepat selesai admin;['admin', 'gunung', 'jam', 'mati']
DIdragOP-7C;admin bangun rumah surabaya utara bukan kampung padat duduk masang pdam bilang ga masuk rumah pdam nya masuk suruh bayar juta bantu kanan kit kakak ku uda situ pakek pdam;['admin', 'area', 'informasi', 'mati', 'pdam', 'tidak']
DIdragOP-7C;siwalankerto tidak keluar air;['gang', 'wiyung']
DIdragOP-7C;depan rumah bocor pipasampai air keluar terussudah lapor diiyain ajaterus lapor ngecek meter rumah rumahtetap tidak tindak foto pdamnya tindak;['informasi', 'manfaat']
DIdragOP-7C;kasih nomor suruh whatsapp tidak respon;['area', 'informasi', 'kodam', 'nya', 'pemberitahuan']
DIdragOP-7C;tidak responnya sama sekali;['adu', 'atas', 'bantu', 'mohon']
DIdragOP-7C;admin selesai daerah gununganyar air mati;['adu', 'gunungsari', 'halo', 'informasi', 'nyala', 'pemberitahuan', 'via', 'whatsapp']
DIdragOP-7C;ijin info baik gunung anyar normalisasi anda air nya lancar malam keluar itu pun jam pagi macet nunggu air normal;['ga', 'mati', 'pemberitahuan']
DIdragOP-7C;responnya tidak masuk;['admin', 'bikin', 'bisa', 'kodam', 'pemberitahuan']
DIdragOP-7C;gaada air;['buka', 'mohon', 'pesan']
DIdragOP-7C;pantas air ga keluar bingung mandi berak nya bocor;['informasi', 'jelas', 'mati', 'total']
DIaDRGLTxxn;debit air kecil sidosermo cuman netes;['harga', 'kubik', 'm', 'surabaya']
DIaDRGLTxxn;loh debit air sidosermo pdk a kecil rasa belakang kecil lama lama kecil lapor ditindaklanjuti;['air', 'bingung', 'ga', 'kodam']
DIaDRGLTxxn;adu lebaran air jam lancar skg keluar debit kecil daerah tapak siring;['daerah', 'gunungsari']
DIaDRGLTxxn;gerak cepat atas keluh tagih lonjak pagi air pdam mati tidak keluar jam siang kecil debit jam mati sampa;['aplikasi', 'catat', 'cis', 'ga', 'lupa', 'meter']
DIXxRvcvTlX;halo admin area kedurus air mati total ganggu kerja;['lapor']
DITD5lfPhEp;admin hari air tidak torrent baik kayak;['lontar', 'malam', 'pakuwon']
DITD5lfPhEp;admin daerah mojo tidak alir air ta gaada air alir;['adu', 'aju', 'halo', 'mati', 'pdam', 'pesan', 'tanggap', 'whatsapp']
DITD5lfPhEp;tindak lanjut datang kantor;['cek', 'gading', 'jaman', 'main', 'masuk', 'sih', 'tugas']
DITD5lfPhEp;admin s;['ga', 'mati', 'pdam', 'pemberitahuan']
DITD5lfPhEp;siwalankerto tidak keluar sama sekali;['air', 'aktivitas', 'mati', 'nyala', 'pagi', 'pemberitahuan']
DIQxHwLPDto;masya allah tabarakallah selamat tunai ibadah umroh moga allah lindung jalan lancar;['jaya', 'moga']
DIQxHwLPDto;daerah sidotopo air tidak keluar rumah telepon layan langgan lapor cis tidak respon payah;[]
DIQxHwLPDto;sidosermo pdk a air tempat kecil kak;['camat', 'kapas', 'lor', 'madya']
DIQxHwLPDto;daerah dinoyo mati air;['ga', 'heran', 'kebraon', 'loh', 'pakai', 'pernah', 'sama', 'sekali', 'umum']
DIQxHwLPDto;subhanallah koyo iku;['ok']
DIQxHwLPDto;undi nya admin;['admin', 'nyala']
DIOuoiuT-jn;tanyapengajuan pasang tanggal maret disurveytapi tidak kejelasandipasang nya;['bayar', 'ga', 'online']
DIOuoiuT-jn;pasang tidak pasang pasang;[]
DIMA6hdvaDP;posisi moga tugas raya beri sehat lancar kerja kumpul keluarga mal aidzin walfaizin;['jelas', 'kata', 'maaf', 'surabaya']
DIMA6hdvaDP;bu telepon kali sibuk whatsapp ga respon;['malam', 'pakai']
DIMA6hdvaDP;bapakibu ganti stop keran kena biaya rp bayar indomaret tagih pdam non air aplikasi gojek go tagih pdam surabaya non air kode bayar jangka kerja bayar terimakasih;['assalamualaikum', 'manfaat', 'masyarakat', 'moga', 'salam']
DIDJcLGPmBr;mal aidzin wal faidzin mohon maaf lahir batin selamat lebaran ketupat;[]
DIA-kfQPQh3;lapor tindak;['diskon', 'operator', 'pln', 'surabaya', 'tarif']
DIA-kfQPQh3;area kapas madya minmau cek kebocoransoalnya tagih pam bangetpernah adu pdam suruh bongkar salur pipa;['dapat', 'komplain', 'pasang', 'pompa', 'sibuk', 'solusi', 'suruh', 'tandon']
DIA-kfQPQh3;lontar admin;['air', 'alir', 'barat', 'bayar', 'deras', 'kotor', 'maaf', 'mahal', 'surabaya', 'tarif', 'turun']
DH7o04ovNSH;semangat tugas piket;['minum']
DH7o04ovNSH;tagih maret admin;['apa', 'atas', 'bukti', 'gang', 'kecil', 'masuk', 'murah', 'tarif']
DH7o04ovNSH;air pdam nya bau putih;['kak', 'nyala']
DH7IuPWTb7s;tagih bengkak karena beda golong tarif ukur tanah rumah lebar gang sama tapi golonongan tarif beda komplain tangan di suvey lokasi tapi ga rubah golong alas listrik kata padahal dari pasang listrik sekarang dari pln listrik bukti bayar rekening listrik komplain layan langgan kantor pdam ga kasih pnjelasanknp golong tarif pdam beda rumah belah ajak ruang ketemu pimpin pimpin cek juga ga kasih jelas ujung kata sistem kini data kata tarif golong pdam heran kenapa rumah kena kini tidak mungkin bantu jawab;[]
DH4sB3KzNXH;semangat juang jogo air pam surabaya mungkin tugas operator tidak silaturahmi keluarga air panjenengan produksi silaturahmi warga surabaya sehat;['bohong']
DH4sB3KzNXH;masya allah tabarakallah sehat pam surya sembada;['murah', 'tarif', 'turun']
DH4sB3KzNXH;selamat tugas kawan piket jaga;['nya', 'nyata']
DH4sB3KzNXH;semangat sobat pam love you;['aja', 'habis', 'jam', 'keluar', 'malam']
DH4sB3KzNXH;korban harga keluarga butuh air bersih masyarakat penuh terima kasih korban kerja keras tugas moga baik berkah limpah tugas keluarga selamat idul fitri mohon maaf lahir batin;['kali']
DH4sB3KzNXH;posisi moga tugas raya beri sehat lancar kerja kumpul keluarga mal aidzin walfaizin;['daerah', 'kedurus', 'kotor', 'nya']
DH4sB3KzNXH;keren;['daya', 'manfaat', 'pihak', 'salam']
DH4sB3KzNXH;masha allah moga sehat foldedhandslightskintone;['balas', 'coba', 'survey']
DH4sB3KzNXH;semangat juang;['beri', 'keluarga', 'kerja', 'mohon', 'surabaya', 'usia', 'warga']
DH4sB3KzNXH;semangat moga beri sehat berkah keluarga;['aja', 'minum']
DH4sB3KzNXH;semangat kawan satria surya sembada moga allah swt senantiasa lindung jaga keluarga amin robbalalamiin;['kak', 'murah']
DH4sB3KzNXH;selamat tugas kawan kawan moga beri sehat berkah semangat;['kawan', 'selamat']
DHz7X7GPjBa;tular angling dharmo misteri gunung rapi artis genta buana lihat kilas film trsbut penuh memorismilingfacewithheart;['selamat']
DHz7X7GPjBa;selamat film nasional;['selamat']
DHz7X7GPjBa;karya masterpiece novelis ubah film ga gagal;['jaga', 'mari']
DHz7X7GPjBa;ayo admin undi cis hadiah tiket nonton film baru sahabat;['air']
DHz7X7GPjBa;mas adam ibu ibu ibu;['dalam', 'kecil', 'rumah', 'tidak']
DHz7X7GPjBa;admin keren;['selamat']
DHz7X7GPjBa;indra said genre;['aduh', 'bos', 'gin', 'heran', 'jam', 'kantor', 'kebraon', 'ku', 'mati', 'tiktok']
DHz7X7GPjBa;suka ekapratama achmadi ipar maut;['kebraon', 'mati', 'pdam']
DHz7X7GPjBa;tebak judul film nya;['jam', 'selesai']
DHvpNKGPbWR;banjarsari cerme pdam mati;['admin', 'daerah', 'dukuh', 'hari', 'mati']
DHub4LCziVP;masya allah;['aktivitas', 'informasi', 'jam', 'kebraon', 'kerja', 'loh', 'sekolah']
DHub4LCziVP;masya allah tabarakallah;['aplikasi', 'foto', 'meter', 'susah', 'unggah']
DHub4LCziVP;pdam rumah kencana residence kalilom lor indahklo siang air tidak nyalamalam jam tidak nyalagimana kerjaasaya tahan;['alir', 'berangkat', 'kebraon', 'kerja', 'mohon', 'nyala', 'sekolah']
DHshgZavd1e;selamat libur;['alir', 'layan', 'masyarakat', 'mati', 'pdam', 'profesional', 'siap', 'warga']
DHqTyqwvbip;enak;['kebraon', 'mati', 'pdam']
DHqTyqwvbip;admin air gunung sari jam mati;['biasa', 'pakai', 'suka', 'umum']
DHqTyqwvbip;tidak informasi air pdam mati area sawunggaling admin;['berangkat', 'ditindaklanjuti', 'ga', 'kasih', 'kebraon', 'kerja', 'mandi', 'subuh', 'terima']
DHqTyqwvbip;segar;['anak', 'kebraon', 'kerja', 'sekolah']
DHqTyqwvbip;admin wiyung gang air mati;['kemlaten', 'nyala']
DHqTyqwvbip;informasi manfaat;['alir', 'sore']
DHqTyqwvbip;admin area kodam air nya mati tidak informasi pemberitahuan;['alir', 'daerah', 'lontar']
DHqTyqwvbip;mohon bantu batal adu pdam atas;['kebraon', 'mandi', 'pagi', 'uda']
DHqTyqwvbip;halo admin gunungsari air mati tidak informasi pemberitahuan nyala plis adu via whatsapp;['estimasi', 'jam', 'komen', 'selesai']
DHqTyqwvbip;air mati ga pemberitahuan;['balas', 'klumprik', 'pantau', 'sumber']
DHqTyqwvbip;admin gaada pemberitahuan kodam mati total;['aktivitas', 'jam', 'mati', 'pak']
DHqTyqwvbip;admin kodam mati admin air admin bisa bikin gebrak pemberitahuan;['balas', 'kak', 'kasih', 'klumprik', 'macet', 'pagi', 'selamat', 'smpe', 'terima']
DHqTyqwvbip;mohon kenan buka pesan;['kebraon', 'mati', 'pdam']
DHqTyqwvbip;air mati total tidak informasi jelas pdam;['baik', 'kebraon', 'lurah', 'normal', 'nyala', 'padam', 'selesai', 'terimakasih', 'wilayah']
DHpnD3Pvkdi;air pulosari mati tidak pemberitahuan;['sumber']
DHpnD3Pvkdi;harga m kubik pdam surabaya;['air', 'dalam', 'dampak', 'ditindaklanjuti', 'jam', 'kena', 'normalisasi', 'nyata', 'padam', 'pagi', 'proses', 'warga']
DHpnD3Pvkdi;air kodam matikate sholat bingung ga air;['akeh', 'aktivitas', 'kebraon', 'nyala']
DHpnD3Pvkdi;air daerah gunungsari mati;['informasi', 'kasih', 'mati']
DHpnD3Pvkdi;admin download aplikasi cis lupa ga catat meter mandiri;['area', 'ga', 'kamar', 'ku', 'mandi']
DHpnD3Pvkdi;so far bad experience air mati masuk meter tidak tangan pdam lapor cuman tugas lapor konfirmasi kerja lapor tinjau tidak akurat kacau;['indah', 'kebraon', 'pagi', 'permai']
DHpnD3Pvkdi;daerah lontar pakuwon air mati malam doang;['berangkat', 'bos', 'kerja', 'mandi']
DHpnD3Pvkdi;halo aju adu air pdam mati whatsapp web pesan tanggap terimaksih;['kebraon', 'mati', 'pdam']
DHpnD3Pvkdi;jaman canggih sih tugas cek meter pdam main masuk pagar pagar grendel tugas daerah gading;['allah', 'kebraon', 'mati']
DHpnD3Pvkdi;pdam mati jm ga pemberitahuan;['kebraon', 'mati', 'pagi']
DHpnD3Pvkdi;pesan lapor bocor pipa pdam jalan mohon ditindaklanjuti;['kebraon', 'mati', 'pdam']
DHpnD3Pvkdi;nyala air admin air mati pemberitahuan hambat aktivitas pagi;['kemlaten']
DHkxG3hvjwD;keren video;['alir', 'jam', 'kebraon', 'pdam']
DHkxG3hvjwD;luarr moga pdam jaya;['kebraon', 'pakk']
DHkxG3hvjwD;hebatstar struck;['jam', 'kebraon', 'nya', 'sido']
DHkxG3hvjwD;daerah kapas lor camat kapas madya hari tidak keluar air admin;['air', 'daerah', 'kebraon']
DHkxG3hvjwD;informatif video;['klumprik']
DHkxG3hvjwD;pdam kebraon kambuh loh ga pernah pakai umum sama sekali heran;['kebraon', 'mati', 'pagi', 'pdam']
DHkxG3hvjwD;ok;['butuh', 'kebraon', 'nyala', 'pakk']
DHkxG3hvjwD;nyala admin;['bos', 'jam', 'kebraon', 'pdamnya']
DHkxG3hvjwD;kebraon pdam mati admin;['berangkat', 'informasi', 'kebraon', 'kerja']
DHiYTyszS9L;ga bayar online;['kali']
DHiYTyszS9L;top;['air', 'daerah', 'halo', 'kedurus', 'mati', 'pagi']
